
2024/08/30 (04:41:44) | ===> btop++ v.1.3.2
2024/08/30 (04:41:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (04:41:44) | ===> btop++ v.1.3.2
2024/08/30 (04:41:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (05:07:47) | ===> btop++ v.1.3.2
2024/08/30 (05:07:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (05:07:47) | ===> btop++ v.1.3.2
2024/08/30 (05:07:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (05:11:26) | ===> btop++ v.1.3.2
2024/08/30 (05:11:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (05:11:26) | ===> btop++ v.1.3.2
2024/08/30 (05:11:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:29:52) | ===> btop++ v.1.3.2
2024/08/30 (06:29:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:29:52) | ===> btop++ v.1.3.2
2024/08/30 (06:29:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:46:08) | ===> btop++ v.1.3.2
2024/08/30 (06:46:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:46:08) | ===> btop++ v.1.3.2
2024/08/30 (06:46:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:49:27) | ===> btop++ v.1.3.2
2024/08/30 (06:49:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:49:27) | ===> btop++ v.1.3.2
2024/08/30 (06:49:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:50:24) | ===> btop++ v.1.3.2
2024/08/30 (06:50:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:50:24) | ===> btop++ v.1.3.2
2024/08/30 (06:50:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:50:47) | ===> btop++ v.1.3.2
2024/08/30 (06:50:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:50:47) | ===> btop++ v.1.3.2
2024/08/30 (06:50:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:51:16) | ===> btop++ v.1.3.2
2024/08/30 (06:51:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:51:16) | ===> btop++ v.1.3.2
2024/08/30 (06:51:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:51:44) | ===> btop++ v.1.3.2
2024/08/30 (06:51:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:51:44) | ===> btop++ v.1.3.2
2024/08/30 (06:51:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:51:59) | ===> btop++ v.1.3.2
2024/08/30 (06:51:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (06:51:59) | ===> btop++ v.1.3.2
2024/08/30 (06:51:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/31 (21:52:58) | ===> btop++ v.1.3.2
2024/08/31 (21:52:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/31 (21:52:58) | ===> btop++ v.1.3.2
2024/08/31 (21:52:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/01 (01:24:35) | ===> btop++ v.1.3.2
2024/09/01 (01:24:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/01 (21:33:09) | ===> btop++ v.1.3.2
2024/09/01 (21:33:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

